analysis,subset,metric,n,mean,sd,bootstrap_ci_low,bootstrap_ci_high,cohens_d,t_statistic,p_value,wilcoxon_p,positive_count,negative_count,zero_count,positive_rate,practical_effect,interpretation
Overall neutral CAS vs zero,all concepts,neutral_cas,100,0.04951679962128401,0.0756514643005235,0.03461207409029206,0.06394868371275564,0.6545385483165242,6.5453854831652425,2.6494213243933298e-09,3.1612240814388055e-08,74,26,0,0.74,small,positive Catholic alignment
Overall theological CAS vs zero,all concepts,theological_cas,100,0.10874262310812871,0.06704647317708047,0.09573490271947036,0.12205851708923776,1.62189922832961,16.2189922832961,1.2455052174685636e-29,2.8782421504419467e-17,93,7,0,0.93,strong,positive Catholic alignment
Overall theological context shift,all concepts,context_shift,100,0.0592258234868447,0.045200478908967875,0.05074186957062533,0.06819505568568905,1.3102919463778993,13.102919463778992,1.1892164486317426e-23,3.779867676618672e-17,91,9,0,0.91,meaningful,positive shift toward Catholic descriptors
Locus neutral CAS vs zero,Freedom Truth and Moral Teleology,neutral_cas,25,0.01384188296397527,0.061527265153002206,-0.009699577018121883,0.03740154424955443,0.22497152976902401,1.12485764884512,0.27177377439932954,0.33878785371780396,13,12,0,0.52,negligible,confidence interval overlaps zero
Locus theological CAS vs zero,Freedom Truth and Moral Teleology,theological_cas,25,0.06867202607790629,0.058975619864145186,0.046665951806306845,0.09195837756892043,1.1644138075377166,5.822069037688583,5.2857300938434685e-06,1.233816146850586e-05,21,4,0,0.84,meaningful,positive Catholic alignment
Locus theological context shift,Freedom Truth and Moral Teleology,context_shift,25,0.05483014311393102,0.045941448291178195,0.038382962193091716,0.072850118180116,1.1934787681575911,5.967393840787955,1.8459735974501381e-06,1.2814998626708984e-06,22,3,0,0.88,meaningful,positive shift toward Catholic descriptors
Locus neutral CAS vs zero,Human Dignity and Theological Anthropology,neutral_cas,25,0.03782030334075292,0.06685706511248185,0.01167453578015169,0.0632932065586249,0.5656889556417587,2.828444778208793,0.009293315042010319,0.00963503122329712,18,7,0,0.72,small,positive Catholic alignment
Locus theological CAS vs zero,Human Dignity and Theological Anthropology,theological_cas,25,0.10384197362263997,0.055663235944827465,0.0828770589977503,0.12510601824124654,1.865539648567441,9.327698242837204,1.8797042971956523e-09,5.960464477539063e-08,25,0,0,1.0,strong,positive Catholic alignment
Locus theological context shift,Human Dignity and Theological Anthropology,context_shift,25,0.06602167028188706,0.03981585298360993,0.051213133382797246,0.08209414517929157,1.6581754586311306,8.290877293155654,8.337871004537044e-09,5.960464477539063e-08,24,1,0,0.96,meaningful,positive shift toward Catholic descriptors
Locus neutral CAS vs zero,Love Communion and Sacramentality,neutral_cas,25,0.07051261206467947,0.08368045882646936,0.03764257537672917,0.10226329197635252,0.8426413173821568,4.213206586910784,0.00030703985636462244,0.0007149577140808105,20,5,0,0.8,meaningful,positive Catholic alignment
Locus theological CAS vs zero,Love Communion and Sacramentality,theological_cas,25,0.14226852094133696,0.06930970777485951,0.11472957219779491,0.1679703941658139,2.052649268172814,10.263246340864068,2.9520575793949763e-10,1.1920928955078125e-07,24,1,0,0.96,strong,positive Catholic alignment
Locus theological context shift,Love Communion and Sacramentality,context_shift,25,0.07175590887665748,0.05062890046531323,0.05231454263900716,0.09107766097610194,1.4172914722060523,7.086457361030262,1.258543921829341e-07,1.4901161193847656e-07,23,2,0,0.92,meaningful,positive shift toward Catholic descriptors
Locus neutral CAS vs zero,Sin Grace and Redemption,neutral_cas,25,0.07589240011572838,0.07548503729965943,0.046710198756307365,0.1046443277597427,1.0053966034944357,5.026983017472178,3.882170280809052e-05,6.365776062011719e-05,23,2,0,0.92,meaningful,positive Catholic alignment
Locus theological CAS vs zero,Sin Grace and Redemption,theological_cas,25,0.12018797179063162,0.06447962514261886,0.09509002254058917,0.1443965583806236,1.863968215150051,9.319841075750254,1.9100491619048712e-09,2.980232238769531e-07,23,2,0,0.92,strong,positive Catholic alignment
Locus theological context shift,Sin Grace and Redemption,context_shift,25,0.044295571674903236,0.04128600243359419,0.028876016351828973,0.06024488018155096,1.0728956320280643,5.364478160140321,8.281133455706802e-06,4.082918167114258e-06,22,3,0,0.88,small,positive shift toward Catholic descriptors
Concept-type theological context shift,anthropological,context_shift,3,0.08495460285080803,0.030903043029709604,0.0506108949581782,0.11051575740178425,2.7490691699563135,4.7615274758855355,0.020694012402324876,0.125,3,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type theological context shift,anthropological_doctrinal,context_shift,3,0.043565850787692616,0.027309533442992667,0.01382986704508464,0.06752444605032606,1.5952616282747645,2.7630741915369477,0.054911698237110965,0.125,3,0,0,1.0,small,positive shift toward Catholic descriptors
Concept-type theological context shift,anthropological_moral,context_shift,3,0.0768524929881096,0.07097303870508646,0.03354139427344008,0.15875987857580182,1.0828406728850088,1.875535061938906,0.10077398382025168,0.125,3,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type theological context shift,anthropological_social,context_shift,3,0.06346401373545331,0.0319633074970477,0.041088796655337045,0.10007140338420868,1.985527115468735,3.439033843797526,0.03757298402217176,0.125,3,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type theological context shift,doctrinal,context_shift,8,0.026619330390046048,0.04389436645471005,0.0008850181257973283,0.0556231546704657,0.606440701621966,1.7152733300176792,0.06500417728344782,0.09765625,5,3,0,0.625,small,positive shift toward Catholic descriptors
Concept-type theological context shift,moral_anthropological,context_shift,6,0.10326413288712503,0.047011398577879164,0.06798328931132953,0.1390169311604565,2.1965764901900866,5.380491581959291,0.0014945726472732977,0.015625,6,0,0,1.0,strong,positive shift toward Catholic descriptors
Concept-type theological context shift,moral_spiritual,context_shift,7,0.07217618844338826,0.031324082332370246,0.049964178832513945,0.09245102753241856,2.3041756715344066,6.096275803885291,0.00044354994663443567,0.0078125,7,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type theological context shift,moral_theology,context_shift,5,0.012900877793629964,0.023584831875214655,-0.006474869847297659,0.030687598188718163,0.5469989297310837,1.2231267904983338,0.14420601397935134,0.15625,3,2,0,0.6,negligible,confidence interval overlaps zero
Concept-type theological context shift,sacramental,context_shift,4,0.03580939397215842,0.02759115997206977,0.011926813671986232,0.0596919742723306,1.2978575024902135,2.595715004980427,0.04033705511638947,0.0625,4,0,0,1.0,small,positive shift toward Catholic descriptors
Concept-type theological context shift,social_anthropological,context_shift,3,0.11937809271944894,0.01747454967140753,0.10245431413253146,0.1373557150363922,6.831540438193927,11.832575132913233,0.0035333676068243247,0.125,3,0,0,1.0,strong,positive shift toward Catholic descriptors
Concept-type theological context shift,social_doctrine,context_shift,6,0.0447950154542923,0.03601463808883112,0.01863934927516514,0.0700787825385728,1.2438002387752485,3.046675926951239,0.014266184161253274,0.03125,5,1,0,0.8333333333333334,small,positive shift toward Catholic descriptors
Concept-type theological context shift,virtue,context_shift,3,0.035257653229766435,0.015094738031084624,0.02425326307614641,0.05246577262878422,2.335757875172148,4.045651313977284,0.02800667362920342,0.125,3,0,0,1.0,small,positive shift toward Catholic descriptors
