locus,concept,concept_type,ambiguity_level,neutral_cas,theological_cas,context_shift,neutral_top_catholic_rate,theological_top_catholic_rate,neutral_query_count,theological_query_count
Freedom Truth and Moral Teleology,authority,moral_social,high,0.06891259849071502,0.11848936875661213,0.049576770265897116,1.0,1.0,3,3
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,-0.10933511058489483,-0.011003784338633213,0.09833132624626162,0.3333333333333333,0.6666666666666666,3,3
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,0.06145904858907064,0.10213588078816734,0.040676832199096694,1.0,1.0,3,3
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,0.07437686224778495,0.04631406764189402,-0.02806279460589093,1.0,1.0,3,3
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,0.11164175868034364,0.1731852521498998,0.06154349346955616,1.0,1.0,3,3
Freedom Truth and Moral Teleology,divine law,moral_theology,low,0.015797986586888635,-0.003002122044563275,-0.01880010863145191,1.0,1.0,3,3
Freedom Truth and Moral Teleology,duties,social_moral,high,0.04600798388322195,0.12417086263497668,0.07816287875175473,0.6666666666666666,1.0,3,3
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,-0.043465634187062584,0.09839650690555574,0.14186214109261833,0.0,1.0,3,3
Freedom Truth and Moral Teleology,fortitude,virtue,medium,0.05986844897270203,0.11233422160148625,0.05246577262878422,1.0,1.0,3,3
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,-0.003951964775721221,0.09703213572502135,0.10098410050074258,1.0,1.0,3,3
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,-0.07285297016302744,0.09202190140883126,0.1648748715718587,0.0,1.0,3,3
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,-0.06278124849001569,-0.016015795866648346,0.04676545262336734,0.3333333333333333,0.0,3,3
Freedom Truth and Moral Teleology,justice,virtue_social,high,0.013179611166318236,0.05847460130850474,0.0452949901421865,0.3333333333333333,1.0,3,3
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,-0.01123296022415162,0.10046705106894177,0.11170001129309338,0.3333333333333333,0.6666666666666666,3,3
Freedom Truth and Moral Teleology,license,moral_juridical,high,-0.0802443563938141,-0.05323491990566254,0.02700943648815156,0.3333333333333333,0.3333333333333333,3,3
Freedom Truth and Moral Teleology,moral law,moral_theology,medium,0.010779894391695669,0.03138481378555297,0.0206049193938573,0.3333333333333333,0.3333333333333333,3,3
Freedom Truth and Moral Teleology,moral truth,moral_theology,high,0.03963403801123302,0.06737697223822277,0.02774293422698975,0.6666666666666666,1.0,3,3
Freedom Truth and Moral Teleology,natural law,moral_theology,medium,0.06565020084381103,0.06193324327468871,-0.0037169575691223186,1.0,1.0,3,3
Freedom Truth and Moral Teleology,obedience,moral_spiritual,high,-0.018231235444545746,0.056468386948108684,0.07469962239265443,0.0,0.0,3,3
Freedom Truth and Moral Teleology,prudence,virtue,medium,0.0963141729434331,0.12536809692780176,0.029053923984368665,1.0,1.0,3,3
Freedom Truth and Moral Teleology,responsibility,moral_anthropological,high,-0.0026385913292567196,0.09360377391179403,0.09624236524105075,0.0,1.0,3,3
Freedom Truth and Moral Teleology,rights,social_doctrine,high,-0.02778934935728709,0.007935846845308958,0.03572519620259605,0.3333333333333333,1.0,3,3
Freedom Truth and Moral Teleology,temperance,virtue,medium,-0.004436968763669317,0.019816294312477094,0.024253263076146413,1.0,1.0,3,3
Freedom Truth and Moral Teleology,truth,epistemological_moral,high,0.12967007358868918,0.18475960890452062,0.05508953531583144,1.0,1.0,3,3
Freedom Truth and Moral Teleology,virtue,moral_theology,medium,-0.010285214583079036,0.02838838696479797,0.038673601547877,0.3333333333333333,1.0,3,3
Human Dignity and Theological Anthropology,body,anthropological,high,-0.007510398825009664,0.08622675736745199,0.09373715619246165,0.3333333333333333,1.0,3,3
Human Dignity and Theological Anthropology,common good,social_doctrine,medium,0.08575230439503988,0.07957149545351665,-0.00618080894152323,1.0,1.0,3,3
Human Dignity and Theological Anthropology,community,social_anthropological,high,0.05366548796494802,0.17198973695437114,0.11832424898942312,1.0,1.0,3,3
Human Dignity and Theological Anthropology,conscience,moral_anthropological,high,0.03754193286101024,0.0695691799124082,0.03202724705139796,1.0,1.0,3,3
Human Dignity and Theological Anthropology,creation,doctrinal_cosmological,high,0.12414262145757676,0.17276217689116793,0.04861955543359117,1.0,1.0,3,3
Human Dignity and Theological Anthropology,creatureliness,anthropological_doctrinal,low,0.04232571224371593,0.09166895151138306,0.04934323926766713,0.0,0.3333333333333333,3,3
Human Dignity and Theological Anthropology,death,anthropological_eschatological,high,-0.061651211977005016,0.053783998390038806,0.11543521036704382,0.0,0.6666666666666666,3,3
Human Dignity and Theological Anthropology,disability,anthropological_social,high,-0.06900867223739623,0.031062731146812444,0.10007140338420868,0.0,0.3333333333333333,3,3
Human Dignity and Theological Anthropology,ecological responsibility,social_doctrine,medium,0.06666003068288166,0.15608850518862408,0.08942847450574241,1.0,1.0,3,3
Human Dignity and Theological Anthropology,elderly life,anthropological_social,high,-0.013601952791213992,0.02748684386412305,0.041088796655337045,1.0,1.0,3,3
Human Dignity and Theological Anthropology,embodiment,anthropological,high,0.031226450204849265,0.1417422076066335,0.11051575740178424,0.6666666666666666,1.0,3,3
