locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Freedom Truth and Moral Teleology,authority,moral_social,high,neutral,3,0.34739390512307483,0.27848130663235987,0.06891259849071502,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,authority,moral_social,high,theological,3,0.34877739946047465,0.2302880307038625,0.11848936875661213,1.0,1.0,5.0
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,neutral,3,0.2603294948736827,0.3696646054585775,-0.10933511058489483,0.3333333333333333,3.6666666666666665,1.3333333333333333
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,theological,3,0.29951606194178265,0.31051984628041585,-0.011003784338633213,0.6666666666666666,1.3333333333333333,2.0
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,neutral,3,0.3774812291065852,0.3160221805175145,0.06145904858907064,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,theological,3,0.3571325580279033,0.2549966772397359,0.10213588078816734,1.0,1.0,3.6666666666666665
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,neutral,3,0.3557265331347783,0.2813496708869934,0.07437686224778495,1.0,1.0,3.3333333333333335
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,theological,3,0.3352620671192805,0.2889479994773865,0.04631406764189402,1.0,1.0,3.0
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,neutral,3,0.38306136926015216,0.27141961057980857,0.11164175868034364,1.0,1.0,5.333333333333333
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,theological,3,0.3832538942495982,0.21006864209969836,0.1731852521498998,1.0,1.0,6.0
Freedom Truth and Moral Teleology,divine law,moral_theology,low,neutral,3,0.38193297386169434,0.3661349872748057,0.015797986586888635,1.0,1.0,2.0
Freedom Truth and Moral Teleology,divine law,moral_theology,low,theological,3,0.3522644956906637,0.355266617735227,-0.003002122044563275,1.0,1.0,2.0
Freedom Truth and Moral Teleology,duties,social_moral,high,neutral,3,0.3354646513859431,0.28945666750272114,0.04600798388322195,0.6666666666666666,1.3333333333333333,2.0
Freedom Truth and Moral Teleology,duties,social_moral,high,theological,3,0.3839707314968109,0.2597998688618342,0.12417086263497668,1.0,1.0,3.6666666666666665
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,neutral,3,0.3137275199095408,0.3571931540966034,-0.043465634187062584,0.0,3.3333333333333335,1.0
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,theological,3,0.35912570655345916,0.2607291996479035,0.09839650690555574,1.0,1.0,4.0
Freedom Truth and Moral Teleology,fortitude,virtue,medium,neutral,3,0.41639481981595355,0.35652637084325156,0.05986844897270203,1.0,1.0,5.0
Freedom Truth and Moral Teleology,fortitude,virtue,medium,theological,3,0.4013789892196655,0.2890447676181793,0.11233422160148625,1.0,1.0,5.333333333333333
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,neutral,3,0.3258798122406006,0.32983177701632177,-0.003951964775721221,1.0,1.0,2.0
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,theological,3,0.3601692726214727,0.2631371368964513,0.09703213572502135,1.0,1.0,3.3333333333333335
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,neutral,3,0.24971213738123577,0.3225651075442632,-0.07285297016302744,0.0,3.0,1.0
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,theological,3,0.343867164850235,0.25184526344140373,0.09202190140883126,1.0,1.0,5.0
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,neutral,3,0.3101747910181681,0.37295603950818385,-0.06278124849001569,0.3333333333333333,3.6666666666666665,1.3333333333333333
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,theological,3,0.3258754114309947,0.341891207297643,-0.016015795866648346,0.0,3.0,1.0
Freedom Truth and Moral Teleology,justice,virtue_social,high,neutral,3,0.3252050538857778,0.31202544271945953,0.013179611166318236,0.3333333333333333,2.3333333333333335,1.3333333333333333
Freedom Truth and Moral Teleology,justice,virtue_social,high,theological,3,0.32775780359903967,0.269283202290535,0.05847460130850474,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,neutral,3,0.35731320182482396,0.3685461620489756,-0.01123296022415162,0.3333333333333333,1.6666666666666667,1.3333333333333333
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,theological,3,0.38511630694071447,0.28464925587177276,0.10046705106894177,0.6666666666666666,1.3333333333333333,2.3333333333333335
Freedom Truth and Moral Teleology,license,moral_juridical,high,neutral,3,0.23483491440614065,0.31507927079995474,-0.0802443563938141,0.3333333333333333,3.0,1.3333333333333333
Freedom Truth and Moral Teleology,license,moral_juridical,high,theological,3,0.24520198603471122,0.29843690594037375,-0.05323491990566254,0.3333333333333333,2.0,1.3333333333333333
Freedom Truth and Moral Teleology,moral law,moral_theology,medium,neutral,3,0.3243464966615041,0.3135666022698084,0.010779894391695669,0.3333333333333333,1.6666666666666667,1.3333333333333333
Freedom Truth and Moral Teleology,moral law,moral_theology,medium,theological,3,0.30394504368305203,0.2725602298974991,0.03138481378555297,0.3333333333333333,1.6666666666666667,1.3333333333333333
Freedom Truth and Moral Teleology,moral truth,moral_theology,high,neutral,3,0.3650887578725815,0.3254547198613485,0.03963403801123302,0.6666666666666666,1.3333333333333333,2.3333333333333335
Freedom Truth and Moral Teleology,moral truth,moral_theology,high,theological,3,0.3577705293893814,0.29039355715115867,0.06737697223822277,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,natural law,moral_theology,medium,neutral,3,0.39450077414512635,0.32885057330131534,0.06565020084381103,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,natural law,moral_theology,medium,theological,3,0.35942295988400774,0.29748971660931905,0.06193324327468871,1.0,1.0,3.0
Freedom Truth and Moral Teleology,obedience,moral_spiritual,high,neutral,3,0.31619100968043007,0.33442224512497587,-0.018231235444545746,0.0,3.3333333333333335,1.0
Freedom Truth and Moral Teleology,obedience,moral_spiritual,high,theological,3,0.3511492113272349,0.29468082437912624,0.056468386948108684,0.0,2.3333333333333335,1.0
Freedom Truth and Moral Teleology,prudence,virtue,medium,neutral,3,0.4063087522983551,0.309994579354922,0.0963141729434331,1.0,1.0,2.3333333333333335
Freedom Truth and Moral Teleology,prudence,virtue,medium,theological,3,0.39163066148757936,0.2662625645597776,0.12536809692780176,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,responsibility,moral_anthropological,high,neutral,3,0.3346484651168187,0.33728705644607543,-0.0026385913292567196,0.0,2.0,1.0
Freedom Truth and Moral Teleology,responsibility,moral_anthropological,high,theological,3,0.36814436316490173,0.2745405892531077,0.09360377391179403,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,rights,social_doctrine,high,neutral,3,0.3178812603155772,0.3456706096728643,-0.02778934935728709,0.3333333333333333,2.6666666666666665,1.3333333333333333
Freedom Truth and Moral Teleology,rights,social_doctrine,high,theological,3,0.29878782331943515,0.2908519764741262,0.007935846845308958,1.0,1.0,2.3333333333333335
Freedom Truth and Moral Teleology,temperance,virtue,medium,neutral,3,0.3685179442167282,0.3729549129803975,-0.004436968763669317,1.0,1.0,2.0
Freedom Truth and Moral Teleology,temperance,virtue,medium,theological,3,0.34398764173189794,0.3241713474194209,0.019816294312477094,1.0,1.0,2.0
Freedom Truth and Moral Teleology,truth,epistemological_moral,high,neutral,3,0.36403326789538065,0.2343631943066915,0.12967007358868918,1.0,1.0,4.0
Freedom Truth and Moral Teleology,truth,epistemological_moral,high,theological,3,0.39161824186642963,0.20685863296190898,0.18475960890452062,1.0,1.0,5.333333333333333
