locus,concept,concept_type,ambiguity_level,query_condition,query_template_id,query,catholic_score,secular_score,catholic_alignment_score,top_descriptor,top_descriptor_group,top_descriptor_similarity,top_is_catholic,nearest_catholic_descriptor,nearest_catholic_similarity,nearest_catholic_rank,nearest_secular_descriptor,nearest_secular_similarity,nearest_secular_rank
Sin Grace and Redemption,sin,moral_doctrinal,medium,neutral,neutral_1,The concept of sin.,0.353476220369339,0.21791044175624846,0.13556577861309055,need for repentance and grace,catholic,0.4069591164588928,1,need for repentance and grace,0.4069591164588928,1,psychological guilt,0.2794719934463501,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,neutral,neutral_2,The meaning of sin.,0.32705060839653016,0.18729776740074158,0.13975284099578858,need for repentance and grace,catholic,0.3886612355709076,1,need for repentance and grace,0.3886612355709076,1,psychological guilt,0.22265496850013733,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,neutral,neutral_3,A discussion of sin in human life.,0.3525150060653687,0.2127477139234543,0.13976729214191438,need for repentance and grace,catholic,0.4381224513053894,1,need for repentance and grace,0.4381224513053894,1,psychological guilt,0.2507478594779968,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,theological,theological_1,Sin in Catholic theology.,0.33913652300834657,0.19666351079940797,0.1424730122089386,offense against divine love,catholic,0.4062731862068176,1,offense against divine love,0.4062731862068176,1,psychological guilt,0.23049969971179962,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,theological,theological_2,Catholic teaching on sin.,0.3231724381446838,0.15820701718330382,0.16496542096138,need for repentance and grace,catholic,0.3799329102039337,1,need for repentance and grace,0.3799329102039337,1,psychological guilt,0.19630976021289825,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,theological,theological_3,The meaning of sin in Christian doctrine.,0.29492118656635286,0.1616940453648567,0.13322714120149615,offense against divine love,catholic,0.3530879616737366,1,offense against divine love,0.3530879616737366,1,legal crime,0.20440036058425903,6
Sin Grace and Redemption,original sin,doctrinal,low,neutral,neutral_1,The concept of original sin.,0.3535900264978409,0.26931220293045044,0.08427782356739044,deprivation of original holiness,catholic,0.47018006443977356,1,deprivation of original holiness,0.47018006443977356,1,inherited blame,0.35481083393096924,3
Sin Grace and Redemption,original sin,doctrinal,low,neutral,neutral_2,The meaning of original sin.,0.30564371645450594,0.21000308394432068,0.09564063251018526,deprivation of original holiness,catholic,0.48009324073791504,1,deprivation of original holiness,0.48009324073791504,1,inherited blame,0.2884499728679657,3
Sin Grace and Redemption,original sin,doctrinal,low,neutral,neutral_3,A discussion of original sin in human life.,0.39267090559005735,0.2522509217262268,0.14041998386383053,fallen human condition,catholic,0.5106276869773865,1,fallen human condition,0.5106276869773865,1,inherited blame,0.30706602334976196,5
Sin Grace and Redemption,original sin,doctrinal,low,theological,theological_1,Original sin in Catholic theology.,0.30602286458015443,0.24133844971656798,0.06468441486358645,deprivation of original holiness,catholic,0.4134731590747833,1,deprivation of original holiness,0.4134731590747833,1,inherited blame,0.29711902141571045,3
Sin Grace and Redemption,original sin,doctrinal,low,theological,theological_2,Catholic teaching on original sin.,0.29506027400493623,0.19875755906105042,0.09630271494388581,deprivation of original holiness,catholic,0.45664551854133606,1,deprivation of original holiness,0.45664551854133606,1,inherited blame,0.2664220333099365,3
Sin Grace and Redemption,original sin,doctrinal,low,theological,theological_3,The meaning of original sin in Christian doctrine.,0.280416464805603,0.20269058644771576,0.07772587835788725,deprivation of original holiness,catholic,0.40777587890625,1,deprivation of original holiness,0.40777587890625,1,inherited blame,0.27784204483032227,3
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,neutral,neutral_1,The concept of personal sin.,0.3640148162841797,0.2485782951116562,0.11543652117252351,personal need for repentance,catholic,0.5324050784111023,1,personal need for repentance,0.5324050784111023,1,private mistake,0.37574154138565063,4
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,neutral,neutral_2,The meaning of personal sin.,0.3302166432142258,0.22249893248081207,0.10771771073341371,personal need for repentance,catholic,0.5016473531723022,1,personal need for repentance,0.5016473531723022,1,personal failure,0.34159237146377563,4
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,neutral,neutral_3,A discussion of personal sin in human life.,0.36175842881202697,0.2510246396064758,0.11073378920555116,personal need for repentance,catholic,0.512226939201355,1,personal need for repentance,0.512226939201355,1,personal failure,0.3719126582145691,4
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,theological,theological_1,Personal sin in Catholic theology.,0.3338310092687607,0.23327250629663468,0.10055850297212601,personal need for repentance,catholic,0.45091599225997925,1,personal need for repentance,0.45091599225997925,1,private mistake,0.3681134283542633,3
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,theological,theological_2,Catholic teaching on personal sin.,0.3080091565847397,0.1777740389108658,0.1302351176738739,personal need for repentance,catholic,0.4418926239013672,1,personal need for repentance,0.4418926239013672,1,private mistake,0.2947638928890228,4
Sin Grace and Redemption,personal sin,moral_doctrinal,medium,theological,theological_3,The meaning of personal sin in Christian doctrine.,0.2997847020626068,0.19227999448776245,0.10750470757484437,personal need for repentance,catholic,0.4346000850200653,1,personal need for repentance,0.4346000850200653,1,private mistake,0.30382150411605835,4
Sin Grace and Redemption,mortal sin,doctrinal,low,neutral,neutral_1,The concept of mortal sin.,0.3578411877155304,0.27539753913879395,0.08244364857673647,loss of sanctifying grace,catholic,0.4799480736255646,1,loss of sanctifying grace,0.4799480736255646,1,extreme wrongdoing,0.32198774814605713,4
Sin Grace and Redemption,mortal sin,doctrinal,low,neutral,neutral_2,The meaning of mortal sin.,0.3285011172294617,0.25692203640937805,0.07157908082008363,loss of sanctifying grace,catholic,0.44914913177490234,1,loss of sanctifying grace,0.44914913177490234,1,extreme wrongdoing,0.31142953038215637,4
Sin Grace and Redemption,mortal sin,doctrinal,low,neutral,neutral_3,A discussion of mortal sin in human life.,0.35159310698509216,0.28960685431957245,0.061986252665519714,loss of sanctifying grace,catholic,0.42738938331604004,1,loss of sanctifying grace,0.42738938331604004,1,extreme wrongdoing,0.3232539892196655,4
Sin Grace and Redemption,mortal sin,doctrinal,low,theological,theological_1,Mortal sin in Catholic theology.,0.35403619408607484,0.3065979242324829,0.04743826985359195,loss of sanctifying grace,catholic,0.45987483859062195,1,loss of sanctifying grace,0.45987483859062195,1,extreme wrongdoing,0.36679062247276306,2
Sin Grace and Redemption,mortal sin,doctrinal,low,theological,theological_2,Catholic teaching on mortal sin.,0.327202308177948,0.21900392472743987,0.10819838345050811,loss of sanctifying grace,catholic,0.4398125112056732,1,loss of sanctifying grace,0.4398125112056732,1,extreme wrongdoing,0.25401201844215393,5
Sin Grace and Redemption,mortal sin,doctrinal,low,theological,theological_3,The meaning of mortal sin in Christian doctrine.,0.2910955101251602,0.23989300727844237,0.051202502846717846,loss of sanctifying grace,catholic,0.38782909512519836,1,loss of sanctifying grace,0.38782909512519836,1,extreme wrongdoing,0.2906500995159149,4
Sin Grace and Redemption,venial sin,doctrinal,low,neutral,neutral_1,The concept of venial sin.,0.25397528409957887,0.30481014847755433,-0.050834864377975464,trivial wrongdoing,secular,0.43471044301986694,0,minor offense against God,0.42139822244644165,2,trivial wrongdoing,0.43471044301986694,1
Sin Grace and Redemption,venial sin,doctrinal,low,neutral,neutral_2,The meaning of venial sin.,0.2220800168812275,0.2723467364907265,-0.050266719609498994,trivial wrongdoing,secular,0.39877769351005554,0,minor offense against God,0.38932502269744873,2,trivial wrongdoing,0.39877769351005554,1
Sin Grace and Redemption,venial sin,doctrinal,low,neutral,neutral_3,A discussion of venial sin in human life.,0.26375919580459595,0.2886535316705704,-0.02489433586597445,minor offense against God,catholic,0.40511375665664673,1,minor offense against God,0.40511375665664673,1,trivial wrongdoing,0.40111443400382996,2
Sin Grace and Redemption,venial sin,doctrinal,low,theological,theological_1,Venial sin in Catholic theology.,0.2854467764496803,0.37226775884628294,-0.08682098239660263,minor offense against God,catholic,0.5044360756874084,1,minor offense against God,0.5044360756874084,1,trivial wrongdoing,0.49615371227264404,2
Sin Grace and Redemption,venial sin,doctrinal,low,theological,theological_2,Catholic teaching on venial sin.,0.23032163977622985,0.23916211128234863,-0.008840471506118774,minor offense against God,catholic,0.3818676173686981,1,minor offense against God,0.3818676173686981,1,trivial wrongdoing,0.3304659426212311,2
Sin Grace and Redemption,venial sin,doctrinal,low,theological,theological_3,The meaning of venial sin in Christian doctrine.,0.22342005074024202,0.2567559525370598,-0.03333590179681778,minor offense against God,catholic,0.39093923568725586,1,minor offense against God,0.39093923568725586,1,trivial wrongdoing,0.37514016032218933,2
Sin Grace and Redemption,transgression,moral_juridical,medium,neutral,neutral_1,The concept of transgression.,0.38591506481170657,0.2835718721151352,0.10234319269657138,crossing moral boundaries before God,catholic,0.4467853307723999,1,crossing moral boundaries before God,0.4467853307723999,1,boundary crossing,0.3931957185268402,3
Sin Grace and Redemption,transgression,moral_juridical,medium,neutral,neutral_2,The meaning of transgression.,0.34133224487304686,0.22496876418590545,0.11636348068714142,violation of divine law,catholic,0.38856184482574463,1,violation of divine law,0.38856184482574463,1,breaking a rule,0.305182546377182,6
Sin Grace and Redemption,transgression,moral_juridical,medium,neutral,neutral_3,A discussion of transgression in human life.,0.3496202528476715,0.252457058429718,0.09716319441795351,crossing moral boundaries before God,catholic,0.42215824127197266,1,crossing moral boundaries before God,0.42215824127197266,1,boundary crossing,0.3548295795917511,3
Sin Grace and Redemption,transgression,moral_juridical,medium,theological,theological_1,Transgression in Catholic theology.,0.4207609534263611,0.26615634858608245,0.15460460484027866,violation of divine law,catholic,0.5158242583274841,1,violation of divine law,0.5158242583274841,1,breaking a rule,0.3156474530696869,6
Sin Grace and Redemption,transgression,moral_juridical,medium,theological,theological_2,Catholic teaching on transgression.,0.40722569823265076,0.20641663670539856,0.2008090615272522,violation of divine law,catholic,0.46955499053001404,1,violation of divine law,0.46955499053001404,1,breaking a rule,0.2727300226688385,6
Sin Grace and Redemption,transgression,moral_juridical,medium,theological,theological_3,The meaning of transgression in Christian doctrine.,0.36984131932258607,0.19126203358173371,0.17857928574085236,violation of divine law,catholic,0.4271456003189087,1,violation of divine law,0.4271456003189087,1,breaking a rule,0.23281289637088776,6
Sin Grace and Redemption,guilt,psychological_moral,high,neutral,neutral_1,The concept of guilt.,0.3566180318593979,0.36035614013671874,-0.0037381082773208507,feeling of remorse,secular,0.48013755679130554,0,conscience burdened by sin,0.4703860580921173,2,feeling of remorse,0.48013755679130554,1
Sin Grace and Redemption,guilt,psychological_moral,high,neutral,neutral_2,The meaning of guilt.,0.33223350048065187,0.318410661816597,0.01382283866405487,feeling of remorse,secular,0.4487174153327942,0,conscience burdened by sin,0.42878419160842896,2,feeling of remorse,0.4487174153327942,1
Sin Grace and Redemption,guilt,psychological_moral,high,neutral,neutral_3,A discussion of guilt in human life.,0.35468863844871523,0.32565240263938905,0.029036235809326183,conscience burdened by sin,catholic,0.4419706463813782,1,conscience burdened by sin,0.4419706463813782,1,feeling of remorse,0.41285040974617004,2
Sin Grace and Redemption,guilt,psychological_moral,high,theological,theological_1,Guilt in Catholic theology.,0.39215145707130433,0.29097068309783936,0.10118077397346498,conscience burdened by sin,catholic,0.5264421105384827,1,conscience burdened by sin,0.5264421105384827,1,feeling of remorse,0.42734643816947937,2
Sin Grace and Redemption,guilt,psychological_moral,high,theological,theological_2,Catholic teaching on guilt.,0.3627447605133057,0.25592267215251924,0.10682208836078644,conscience burdened by sin,catholic,0.4635610282421112,1,conscience burdened by sin,0.4635610282421112,1,feeling of remorse,0.36962127685546875,3
Sin Grace and Redemption,guilt,psychological_moral,high,theological,theological_3,The meaning of guilt in Christian doctrine.,0.36434690952301024,0.24405720829963684,0.1202897012233734,conscience burdened by sin,catholic,0.47220373153686523,1,conscience burdened by sin,0.47220373153686523,1,feeling of remorse,0.3700988292694092,3
Sin Grace and Redemption,shame,psychological_moral,high,neutral,neutral_1,The concept of shame.,0.22669704258441925,0.37642847299575805,-0.1497314304113388,social humiliation,secular,0.46534737944602966,0,wounded awareness of sin,0.3396516740322113,4,social humiliation,0.46534737944602966,1
Sin Grace and Redemption,shame,psychological_moral,high,neutral,neutral_2,The meaning of shame.,0.22233585715293885,0.3506328821182251,-0.12829702496528622,public disgrace,secular,0.434137225151062,0,wounded awareness of sin,0.3082062602043152,4,public disgrace,0.434137225151062,1
Sin Grace and Redemption,shame,psychological_moral,high,neutral,neutral_3,A discussion of shame in human life.,0.23995665609836578,0.331826975941658,-0.09187031984329222,social humiliation,secular,0.44653594493865967,0,wounded awareness of sin,0.34052976965904236,4,social humiliation,0.44653594493865967,1
Sin Grace and Redemption,shame,psychological_moral,high,theological,theological_1,Shame in Catholic theology.,0.27365219295024873,0.31134567260742185,-0.03769347965717312,wounded awareness of sin,catholic,0.42190879583358765,1,wounded awareness of sin,0.42190879583358765,1,public disgrace,0.41809704899787903,2
Sin Grace and Redemption,shame,psychological_moral,high,theological,theological_2,Catholic teaching on shame.,0.24141835272312165,0.26415224075317384,-0.02273388803005219,wounded awareness of sin,catholic,0.35442444682121277,1,wounded awareness of sin,0.35442444682121277,1,social humiliation,0.3320005238056183,2
Sin Grace and Redemption,shame,psychological_moral,high,theological,theological_3,The meaning of shame in Christian doctrine.,0.25284560322761535,0.26277574598789216,-0.009930142760276817,wounded awareness of sin,catholic,0.39848387241363525,1,wounded awareness of sin,0.39848387241363525,1,public disgrace,0.34736907482147217,2
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,neutral,neutral_1,The concept of concupiscence.,0.4513047099113464,0.2608697712421417,0.1904349386692047,tendency toward sin,catholic,0.5673657059669495,1,tendency toward sin,0.5673657059669495,1,sexual appetite,0.291556715965271,6
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,neutral,neutral_2,The meaning of concupiscence.,0.36434318125247955,0.2370215803384781,0.12732160091400146,tendency toward sin,catholic,0.46407559514045715,1,tendency toward sin,0.46407559514045715,1,sexual appetite,0.2877689003944397,5
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,neutral,neutral_3,A discussion of concupiscence in human life.,0.4473283767700195,0.23581555485725403,0.2115128219127655,disordered inclination after the fall,catholic,0.5246666073799133,1,disordered inclination after the fall,0.5246666073799133,1,sexual appetite,0.28592896461486816,6
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,theological,theological_1,Concupiscence in Catholic theology.,0.40982034206390383,0.25055608451366423,0.1592642575502396,disordered inclination after the fall,catholic,0.5104423761367798,1,disordered inclination after the fall,0.5104423761367798,1,sexual appetite,0.32132425904273987,5
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,theological,theological_2,Catholic teaching on concupiscence.,0.3900118887424469,0.18841238617897033,0.20159950256347658,tendency toward sin,catholic,0.49388155341148376,1,tendency toward sin,0.49388155341148376,1,sexual appetite,0.22234390676021576,6
Sin Grace and Redemption,concupiscence,doctrinal_anthropological,low,theological,theological_3,The meaning of concupiscence in Christian doctrine.,0.3779357671737671,0.19978408813476561,0.17815167903900148,tendency toward sin,catholic,0.4687712490558624,1,tendency toward sin,0.4687712490558624,1,sexual appetite,0.23665188252925873,6
Sin Grace and Redemption,temptation,moral_spiritual,medium,neutral,neutral_1,The concept of temptation.,0.31067265570163727,0.29990109503269197,0.010771560668945301,invitation toward sin,catholic,0.48746562004089355,1,invitation toward sin,0.48746562004089355,1,psychological lure,0.3686085045337677,2
Sin Grace and Redemption,temptation,moral_spiritual,medium,neutral,neutral_2,The meaning of temptation.,0.2724799931049347,0.22590681910514832,0.04657317399978639,invitation toward sin,catholic,0.4230606257915497,1,invitation toward sin,0.4230606257915497,1,impulse toward pleasure,0.28700464963912964,2
