locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Freedom Truth and Moral Teleology,authority,moral_social,high,academic,3,0.34739390512307483,0.27848130663235987,0.06891259849071502,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,authority,moral_social,high,bare,1,0.3910975158214569,0.35606980323791504,0.03502771258354187,1.0,1.0,3.0
Freedom Truth and Moral Teleology,authority,moral_social,high,catholic,3,0.34877739946047465,0.2302880307038625,0.11848936875661213,1.0,1.0,5.0
Freedom Truth and Moral Teleology,authority,moral_social,high,ordinary,3,0.31016038060188295,0.2856508165597916,0.02450956404209137,1.0,1.0,2.3333333333333335
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,academic,3,0.2603294948736827,0.3696646054585775,-0.10933511058489483,0.3333333333333333,3.6666666666666665,1.3333333333333333
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,bare,1,0.31115026473999025,0.5577363014221192,-0.24658603668212892,0.0,5.0,1.0
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,catholic,3,0.29951606194178265,0.31051984628041585,-0.011003784338633213,0.6666666666666666,1.3333333333333333,2.0
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,ordinary,3,0.23121098577976226,0.35716026027997333,-0.12594927450021107,0.0,4.666666666666667,1.0
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,academic,3,0.3774812291065852,0.3160221805175145,0.06145904858907064,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,bare,1,0.443067467212677,0.42613619565963745,0.01693127155303953,1.0,1.0,2.0
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,catholic,3,0.3571325580279033,0.2549966772397359,0.10213588078816734,1.0,1.0,3.6666666666666665
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,ordinary,3,0.34604262908299765,0.3027538418769837,0.043288787206014,1.0,1.0,2.3333333333333335
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,academic,3,0.3557265331347783,0.2813496708869934,0.07437686224778495,1.0,1.0,3.3333333333333335
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,bare,1,0.41851269602775576,0.41347923278808596,0.0050334632396698,1.0,1.0,3.0
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,catholic,3,0.3352620671192805,0.2889479994773865,0.04631406764189402,1.0,1.0,3.0
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,ordinary,3,0.33732498188813526,0.2694625546534856,0.06786242723464969,1.0,1.0,4.0
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,academic,3,0.38306136926015216,0.27141961057980857,0.11164175868034364,1.0,1.0,5.333333333333333
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,bare,1,0.4224914193153381,0.3799163639545441,0.042575055360794034,1.0,1.0,2.0
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,catholic,3,0.3832538942495982,0.21006864209969836,0.1731852521498998,1.0,1.0,6.0
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,ordinary,3,0.3603184123833974,0.24766148229440055,0.11265693008899691,1.0,1.0,5.666666666666667
Freedom Truth and Moral Teleology,divine law,moral_theology,low,academic,3,0.38193297386169434,0.35236238936583203,0.029570584495862324,1.0,1.0,2.0
Freedom Truth and Moral Teleology,divine law,moral_theology,low,bare,1,0.4585083782672882,0.47181684970855714,-0.013308471441268954,1.0,1.0,2.0
Freedom Truth and Moral Teleology,divine law,moral_theology,low,catholic,3,0.3522644956906637,0.3442110389471054,0.008053456743558248,1.0,1.0,2.0
Freedom Truth and Moral Teleology,divine law,moral_theology,low,ordinary,3,0.3545629908641179,0.334021935860316,0.02054105500380199,1.0,1.0,2.0
Freedom Truth and Moral Teleology,duties,social_moral,high,academic,3,0.3354646513859431,0.28945666750272114,0.04600798388322195,0.6666666666666666,1.3333333333333333,2.0
Freedom Truth and Moral Teleology,duties,social_moral,high,bare,1,0.37673317790031435,0.47718821167945863,-0.10045503377914428,0.0,4.0,1.0
Freedom Truth and Moral Teleology,duties,social_moral,high,catholic,3,0.3839707314968109,0.2597998688618342,0.12417086263497668,1.0,1.0,3.6666666666666665
Freedom Truth and Moral Teleology,duties,social_moral,high,ordinary,3,0.28925127685070035,0.2916835134228071,-0.002432236572106672,1.0,1.0,2.3333333333333335
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,academic,3,0.3137275199095408,0.3571931540966034,-0.043465634187062584,0.0,3.3333333333333335,1.0
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,bare,1,0.3015513300895691,0.4399810194969177,-0.13842968940734862,0.0,5.0,1.0
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,catholic,3,0.35912570655345916,0.2607291996479035,0.09839650690555574,1.0,1.0,4.0
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,ordinary,3,0.2906111886103948,0.3472000141938527,-0.05658882558345794,0.0,3.6666666666666665,1.0
Freedom Truth and Moral Teleology,fortitude,virtue,medium,academic,3,0.41639481981595355,0.35652637084325156,0.05986844897270203,1.0,1.0,5.0
Freedom Truth and Moral Teleology,fortitude,virtue,medium,bare,1,0.5053246498107911,0.5312339723110199,-0.025909322500228815,0.0,3.0,1.0
Freedom Truth and Moral Teleology,fortitude,virtue,medium,catholic,3,0.4013789892196655,0.2890447676181793,0.11233422160148625,1.0,1.0,5.333333333333333
Freedom Truth and Moral Teleology,fortitude,virtue,medium,ordinary,3,0.39604980349540714,0.34539867639541627,0.050651127099990846,1.0,1.0,5.0
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,academic,3,0.3258798122406006,0.32983177701632177,-0.003951964775721221,1.0,1.0,2.0
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,bare,1,0.43130255341529844,0.4886228919029236,-0.05732033848762513,1.0,1.0,2.0
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,catholic,3,0.3601692726214727,0.2631371368964513,0.09703213572502135,1.0,1.0,3.3333333333333335
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,ordinary,3,0.2790417363246282,0.32791189650694524,-0.04887016018231708,1.0,1.0,2.0
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,academic,3,0.24971213738123577,0.3225651075442632,-0.07285297016302744,0.0,3.0,1.0
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,bare,1,0.3497233211994171,0.533144336938858,-0.18342101573944086,0.0,6.0,1.0
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,catholic,3,0.343867164850235,0.25184526344140373,0.09202190140883126,1.0,1.0,5.0
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,ordinary,3,0.22535893023014072,0.33940806289513903,-0.11404913266499837,0.0,4.666666666666667,1.0
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,academic,3,0.3101747910181681,0.2956090529759725,0.01456573804219563,0.3333333333333333,2.0,1.3333333333333333
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,bare,1,0.3817613422870636,0.4419683039188385,-0.06020696163177491,0.0,4.0,1.0
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,catholic,3,0.3258754114309947,0.2762617523471514,0.04961365908384324,0.3333333333333333,1.6666666666666667,2.0
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,ordinary,3,0.299933323264122,0.28668497800827025,0.01324834525585176,0.3333333333333333,1.6666666666666667,1.3333333333333333
Freedom Truth and Moral Teleology,justice,virtue_social,high,academic,3,0.3252050538857778,0.31202544271945953,0.013179611166318236,0.3333333333333333,2.3333333333333335,1.3333333333333333
Freedom Truth and Moral Teleology,justice,virtue_social,high,bare,1,0.38741699457168577,0.42562763690948485,-0.03821064233779908,0.0,2.0,1.0
Freedom Truth and Moral Teleology,justice,virtue_social,high,catholic,3,0.32775780359903967,0.269283202290535,0.05847460130850474,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,justice,virtue_social,high,ordinary,3,0.2981522838274638,0.32353979845841724,-0.025387514630953473,0.0,2.0,1.0
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,academic,3,0.35731320182482396,0.3685461620489756,-0.01123296022415162,0.3333333333333333,1.6666666666666667,1.3333333333333333
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,bare,1,0.3959853291511536,0.46588303446769713,-0.06989770531654355,0.0,3.0,1.0
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,catholic,3,0.38511630694071447,0.28464925587177276,0.10046705106894177,0.6666666666666666,1.3333333333333333,2.3333333333333335
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,ordinary,3,0.3146459360917409,0.35447817842165624,-0.039832242329915356,0.0,2.0,1.0
