locus,concept,concept_type,ambiguity_level,query_condition,query_template_id,query,catholic_score,secular_score,catholic_alignment_score,top_descriptor,top_descriptor_group,top_descriptor_similarity,top_is_catholic,nearest_catholic_descriptor,nearest_catholic_similarity,nearest_catholic_rank,nearest_secular_descriptor,nearest_secular_similarity,nearest_secular_rank
Sin Grace and Redemption,sin,moral_doctrinal,medium,bare,bare_1,sin,0.175369057059288,0.17450347244739534,0.000865584611892678,offense against divine love,catholic,0.22307522594928741,1,offense against divine love,0.22307522594928741,1,legal crime,0.21551546454429626,2
Sin Grace and Redemption,sin,moral_doctrinal,medium,ordinary,ordinary_1,The everyday meaning of sin.,0.30806964039802553,0.23762816488742827,0.07044147551059726,need for repentance and grace,catholic,0.35130074620246887,1,need for repentance and grace,0.35130074620246887,1,social rule-breaking,0.26427754759788513,5
Sin Grace and Redemption,sin,moral_doctrinal,medium,ordinary,ordinary_2,How people experience sin.,0.3513536095619202,0.22605642378330232,0.12529718577861787,need for repentance and grace,catholic,0.4297190308570862,1,need for repentance and grace,0.4297190308570862,1,psychological guilt,0.3550952970981598,4
Sin Grace and Redemption,sin,moral_doctrinal,medium,ordinary,ordinary_3,How people talk about sin in ordinary life.,0.2992808848619461,0.2253275364637375,0.07395334839820861,need for repentance and grace,catholic,0.3667823374271393,1,need for repentance and grace,0.3667823374271393,1,social rule-breaking,0.28067493438720703,4
Sin Grace and Redemption,sin,moral_doctrinal,medium,academic,academic_1,The concept of sin.,0.353476220369339,0.21791044175624846,0.13556577861309055,need for repentance and grace,catholic,0.4069591164588928,1,need for repentance and grace,0.4069591164588928,1,psychological guilt,0.2794719934463501,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,academic,academic_2,The meaning of sin.,0.32705060839653016,0.18729776740074158,0.13975284099578858,need for repentance and grace,catholic,0.3886612355709076,1,need for repentance and grace,0.3886612355709076,1,psychological guilt,0.22265496850013733,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,academic,academic_3,A discussion of sin in human life.,0.3525150060653687,0.2127477139234543,0.13976729214191438,need for repentance and grace,catholic,0.4381224513053894,1,need for repentance and grace,0.4381224513053894,1,psychological guilt,0.2507478594779968,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,catholic,catholic_1,Sin in Catholic theology.,0.33913652300834657,0.19666351079940797,0.1424730122089386,offense against divine love,catholic,0.4062731862068176,1,offense against divine love,0.4062731862068176,1,psychological guilt,0.23049969971179962,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,catholic,catholic_2,Catholic teaching on sin.,0.3231724381446838,0.15820701718330382,0.16496542096138,need for repentance and grace,catholic,0.3799329102039337,1,need for repentance and grace,0.3799329102039337,1,psychological guilt,0.19630976021289825,6
Sin Grace and Redemption,sin,moral_doctrinal,medium,catholic,catholic_3,The meaning of sin in Christian doctrine.,0.29492118656635286,0.1616940453648567,0.13322714120149615,offense against divine love,catholic,0.3530879616737366,1,offense against divine love,0.3530879616737366,1,legal crime,0.20440036058425903,6
Sin Grace and Redemption,original sin,doctrinal,low,bare,bare_1,original sin,0.45288190245628357,0.3980444252490997,0.05483747720718385,fallen human condition,catholic,0.5729038119316101,1,fallen human condition,0.5729038119316101,1,inherited blame,0.4712492525577545,3
Sin Grace and Redemption,original sin,doctrinal,low,ordinary,ordinary_1,The everyday meaning of original sin.,0.31403235495090487,0.24329937994480133,0.07073297500610354,deprivation of original holiness,catholic,0.421266108751297,1,deprivation of original holiness,0.421266108751297,1,inherited blame,0.3164447844028473,3
Sin Grace and Redemption,original sin,doctrinal,low,ordinary,ordinary_2,How people experience original sin.,0.39176241755485536,0.2528578877449036,0.13890452980995177,deprivation of original holiness,catholic,0.5000522136688232,1,deprivation of original holiness,0.5000522136688232,1,inherited blame,0.3207469880580902,4
Sin Grace and Redemption,original sin,doctrinal,low,ordinary,ordinary_3,How people talk about original sin in ordinary life.,0.335190749168396,0.24967328906059266,0.08551746010780331,fallen human condition,catholic,0.4252885580062866,1,fallen human condition,0.4252885580062866,1,inherited blame,0.3260608911514282,4
Sin Grace and Redemption,original sin,doctrinal,low,academic,academic_1,The concept of original sin.,0.3535900264978409,0.26931220293045044,0.08427782356739044,deprivation of original holiness,catholic,0.47018006443977356,1,deprivation of original holiness,0.47018006443977356,1,inherited blame,0.35481083393096924,3
Sin Grace and Redemption,original sin,doctrinal,low,academic,academic_2,The meaning of original sin.,0.30564371645450594,0.21000308394432068,0.09564063251018526,deprivation of original holiness,catholic,0.48009324073791504,1,deprivation of original holiness,0.48009324073791504,1,inherited blame,0.2884499728679657,3
Sin Grace and Redemption,original sin,doctrinal,low,academic,academic_3,A discussion of original sin in human life.,0.39267090559005735,0.2522509217262268,0.14041998386383053,fallen human condition,catholic,0.5106276869773865,1,fallen human condition,0.5106276869773865,1,inherited blame,0.30706602334976196,5
Sin Grace and Redemption,original sin,doctrinal,low,catholic,catholic_1,Original sin in Catholic theology.,0.30602286458015443,0.24133844971656798,0.06468441486358645,deprivation of original holiness,catholic,0.4134731590747833,1,deprivation of original holiness,0.4134731590747833,1,inherited blame,0.29711902141571045,3
Sin Grace and Redemption,original sin,doctrinal,low,catholic,catholic_2,Catholic teaching on original sin.,0.29506027400493623,0.19875755906105042,0.09630271494388581,deprivation of original holiness,catholic,0.45664551854133606,1,deprivation of original holiness,0.45664551854133606,1,inherited blame,0.2664220333099365,3
