analysis,subset,metric,n,mean,sd,bootstrap_ci_low,bootstrap_ci_high,cohens_d,t_statistic,p_value,wilcoxon_p,positive_count,negative_count,zero_count,positive_rate,practical_effect,interpretation
Overall bare CAS vs zero,all concepts,bare_cas,100,-0.020213090062141417,0.09486808128540321,-0.03896620372310281,-0.0022041652835905613,-0.21306523530640317,-2.130652353064032,0.035595171513471045,0.04765016745207912,43,57,0,0.43,small,negative Catholic alignment
Overall ordinary CAS vs zero,all concepts,ordinary_cas,100,0.02337056691696247,0.07398745031507407,0.00856246687124173,0.03730813084517916,0.3158720406966233,3.1587204069662325,0.0021015618381326393,0.0022639049036187655,62,38,0,0.62,small,positive Catholic alignment
Overall academic CAS vs zero,all concepts,academic_cas,100,0.052463763636847335,0.07446781985515619,0.037738334199724104,0.06672273502461612,0.7045159068560367,7.045159068560366,2.4948912549586196e-10,3.203882879938662e-09,77,23,0,0.77,meaningful,positive Catholic alignment
Overall catholic CAS vs zero,all concepts,catholic_cas,100,0.11132915823409954,0.06501285470751583,0.09864970819062241,0.12411184392546613,1.7124176247136753,17.124176247136752,2.3335464595831847e-31,1.690631665125154e-17,95,5,0,0.95,strong,positive Catholic alignment
Overall bare to catholic shift,all concepts,bare_to_catholic_shift,100,0.13154224829624098,0.06966063245303263,0.11853751530920464,0.14495966472613311,1.8883298021293573,18.883298021293573,6.903281866632785e-35,2.133161365359117e-18,99,1,0,0.99,strong,positive shift toward Catholic descriptors
Overall ordinary to catholic shift,all concepts,ordinary_to_catholic_shift,100,0.0879585913171371,0.05677153729311493,0.07731845619430146,0.09906498513706025,1.5493431305726582,15.49343130572658,1.6268056915033138e-28,6.6648502539375544e-18,95,5,0,0.95,meaningful,positive shift toward Catholic descriptors
Overall academic to catholic shift,all concepts,academic_to_catholic_shift,100,0.05886539459725221,0.04538442641455544,0.05035177438302586,0.06786985397332657,1.2970395187890538,12.970395187890537,2.2543548743590918e-23,4.6315516892333295e-17,91,9,0,0.91,meaningful,positive shift toward Catholic descriptors
Overall default to catholic shift,all concepts,default_to_catholic_shift,100,0.109750419806689,0.058899116805901125,0.09882860179009537,0.12150701170830677,1.8633627422354329,18.63362742235433,1.935968989905931e-34,1.948279922547955e-18,100,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Freedom Truth and Moral Teleology,bare_cas,25,-0.06142378354072571,0.08119957853569121,-0.09332510669231414,-0.030889384180307417,-0.7564544625527451,-3.782272312763725,0.0009117129760093606,0.0008081197738647461,6,19,0,0.24,meaningful,negative Catholic alignment
Locus ordinary CAS vs zero,Freedom Truth and Moral Teleology,ordinary_cas,25,0.0005168324112892206,0.06004069826525763,-0.02279118969837824,0.02312490960409241,0.008608034653525743,0.043040173267628705,0.9660255975522429,0.9158032536506653,14,11,0,0.56,negligible,confidence interval overlaps zero
Locus academic CAS vs zero,Freedom Truth and Moral Teleology,academic_cas,25,0.021539204537868496,0.058243645065298416,-0.0010754600261648586,0.043745192488034546,0.3698120973321699,1.8490604866608495,0.07680469857368016,0.05875152349472046,16,9,0,0.64,small,confidence interval overlaps zero
Locus catholic CAS vs zero,Freedom Truth and Moral Teleology,catholic_cas,25,0.07505993549029033,0.05473933262432872,0.05430608751624822,0.0961432205652197,1.3712248924447095,6.856124462223547,4.3218513402921743e-07,3.2782554626464844e-06,23,2,0,0.92,meaningful,positive Catholic alignment
Locus ordinary to catholic shift,Freedom Truth and Moral Teleology,ordinary_to_catholic_shift,25,0.0745431030790011,0.05782549922566783,0.054242127414544414,0.09745772185871995,1.2891043584092845,6.445521792046422,5.756683904702901e-07,7.450580596923828e-07,23,2,0,0.92,meaningful,positive shift toward Catholic descriptors
Locus academic to catholic shift,Freedom Truth and Moral Teleology,academic_to_catholic_shift,25,0.05352073095242183,0.04643775452743057,0.03690931505958239,0.07180977837095656,1.1525262471682902,5.762631235841451,3.062439353336664e-06,2.086162567138672e-06,22,3,0,0.88,meaningful,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Human Dignity and Theological Anthropology,bare_cas,25,-0.03255686330795288,0.09121745665271161,-0.06758300536572932,0.0020727387428283663,-0.35691483300071886,-1.7845741650035942,0.08697852702093667,0.08513903617858887,9,16,0,0.36,small,confidence interval overlaps zero
Locus ordinary CAS vs zero,Human Dignity and Theological Anthropology,ordinary_cas,25,0.003595702310403187,0.06278867631716281,-0.021036823920408877,0.027389962349335342,0.05726673217699812,0.2863336608849905,0.7770797539749538,0.8325093984603882,13,12,0,0.52,negligible,confidence interval overlaps zero
Locus academic CAS vs zero,Human Dignity and Theological Anthropology,academic_cas,25,0.03782030334075292,0.06685706511248185,0.01167453578015169,0.0632932065586249,0.5656889556417587,2.828444778208793,0.009293315042010319,0.00963503122329712,18,7,0,0.72,small,positive Catholic alignment
Locus catholic CAS vs zero,Human Dignity and Theological Anthropology,catholic_cas,25,0.10384197362263997,0.055663235944827465,0.0828770589977503,0.12510601824124654,1.865539648567441,9.327698242837204,1.8797042971956523e-09,5.960464477539063e-08,25,0,0,1.0,strong,positive Catholic alignment
Locus ordinary to catholic shift,Human Dignity and Theological Anthropology,ordinary_to_catholic_shift,25,0.10024627131223678,0.04999652485266379,0.0812610977207621,0.1198050035993258,2.0050647841556075,10.025323920778037,2.339253043901538e-10,2.9802322387695312e-08,25,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus academic to catholic shift,Human Dignity and Theological Anthropology,academic_to_catholic_shift,25,0.06602167028188706,0.03981585298360993,0.051213133382797246,0.08209414517929157,1.6581754586311306,8.290877293155654,8.337871004537044e-09,5.960464477539063e-08,24,1,0,0.96,meaningful,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Love Communion and Sacramentality,bare_cas,25,0.008326327562332154,0.10572201075566726,-0.033224295896291736,0.04790909951329229,0.07875680289107459,0.393784014455373,0.6972173415542608,0.5424043536186218,14,11,0,0.56,negligible,confidence interval overlaps zero
Locus ordinary CAS vs zero,Love Communion and Sacramentality,ordinary_cas,25,0.03554409993688266,0.08688206050788483,0.0013581826026241022,0.06758939847946169,0.40910746970206713,2.0455373485103356,0.0519127325077697,0.04826241731643677,16,9,0,0.64,small,positive Catholic alignment
Locus academic CAS vs zero,Love Communion and Sacramentality,academic_cas,25,0.07323977820078532,0.08540366912673852,0.03951600904663404,0.10542589973161616,0.8575717993110804,4.287858996555403,0.0002540169371593584,0.0005564093589782715,20,5,0,0.8,meaningful,positive Catholic alignment
Locus catholic CAS vs zero,Love Communion and Sacramentality,catholic_cas,25,0.14491764762997628,0.06980883472887126,0.11662382408554355,0.1701669482715428,2.075921309857387,10.379606549286937,2.3626804141180717e-10,1.7881393432617188e-07,24,1,0,0.96,strong,positive Catholic alignment
Locus ordinary to catholic shift,Love Communion and Sacramentality,ordinary_to_catholic_shift,25,0.1093735476930936,0.05844472657399846,0.08764330802112819,0.13168539874528845,1.871401478020652,9.35700739010326,8.854132504075887e-10,2.9802322387695312e-08,25,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus academic to catholic shift,Love Communion and Sacramentality,academic_to_catholic_shift,25,0.07167786942919094,0.05067623908537337,0.05226312824512522,0.09104013419349988,1.414427564532492,7.072137822662458,1.301304706690792e-07,1.4901161193847656e-07,23,2,0,0.92,meaningful,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Sin Grace and Redemption,bare_cas,25,0.00480195903778077,0.08721010494373761,-0.029323892629146565,0.038494485908746705,0.055061956878491164,0.27530978439245585,0.7854346497389094,0.6720751523971558,14,11,0,0.56,negligible,confidence interval overlaps zero
Locus ordinary CAS vs zero,Sin Grace and Redemption,ordinary_cas,25,0.05382563300927481,0.07357392234217576,0.02449737795740366,0.08133432002514598,0.7315857479902172,3.657928739951086,0.0012444134487929696,0.0006313323974609375,19,6,0,0.76,meaningful,positive Catholic alignment
Locus academic CAS vs zero,Sin Grace and Redemption,academic_cas,25,0.07725576846798261,0.07355003933078051,0.04880335765009125,0.10517563522309062,1.0503837818568136,5.2519189092840675,2.198782136870876e-05,2.2113323211669922e-05,23,2,0,0.92,meaningful,positive Catholic alignment
Locus catholic CAS vs zero,Sin Grace and Redemption,catholic_cas,25,0.12149707619349162,0.061281364446948504,0.09802160180509091,0.14476843620489038,1.982610493254798,9.91305246627399,5.828032437107366e-10,2.980232238769531e-07,23,2,0,0.92,strong,positive Catholic alignment
Locus ordinary to catholic shift,Sin Grace and Redemption,ordinary_to_catholic_shift,25,0.06767144318421682,0.052768366696783225,0.04724858402212462,0.08814708662182091,1.2824244413906047,6.412122206953023,6.239748975389473e-07,2.086162567138672e-06,22,3,0,0.88,meaningful,positive shift toward Catholic descriptors
Locus academic to catholic shift,Sin Grace and Redemption,academic_to_catholic_shift,25,0.044241307725509015,0.04134886123053032,0.028808783170084156,0.06022064254904786,1.0699522649209752,5.349761324604876,8.593285255921363e-06,6.16908073425293e-06,22,3,0,0.88,small,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,anthropological,ordinary_to_catholic_shift,3,0.12504143251313105,0.022226856552420626,0.11147153476874035,0.15069239735603332,5.625691254101937,9.74398307980043,0.005184430917742541,0.125,3,0,0,1.0,strong,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,anthropological_doctrinal,ordinary_to_catholic_shift,3,0.07075836923387317,0.04139180628981758,0.027493095397949224,0.10997988581657413,1.709477685956406,2.960902206481769,0.048822032294789444,0.125,3,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,anthropological_moral,ordinary_to_catholic_shift,3,0.10155896544456482,0.06836757521557715,0.06164060731728874,0.18050135274728132,1.4854843853146513,2.572934429215199,0.06182731377916978,0.125,3,0,0,1.0,strong,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,anthropological_social,ordinary_to_catholic_shift,3,0.09799453053209518,0.03497335121598795,0.05761322975158695,0.11857015589873,2.8019771375897577,4.853166763951871,0.019965626018542636,0.125,3,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,doctrinal,ordinary_to_catholic_shift,8,0.04806187891711792,0.05864547049742761,0.012140511373678857,0.08567991727342203,0.8195326682429136,2.3179884284738774,0.026776443269355736,0.0390625,6,2,0,0.75,small,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,moral_anthropological,ordinary_to_catholic_shift,6,0.15140393351515133,0.0535957011843046,0.11688931667142444,0.19225787371397018,2.8249268163225314,6.91962926069518,0.0004833684860148891,0.015625,6,0,0,1.0,strong,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,moral_spiritual,ordinary_to_catholic_shift,7,0.08970967155127298,0.04280893416362525,0.059291997126170594,0.11856268615594921,2.0955829268811668,5.544391276240419,0.0007268168760344081,0.0078125,7,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,moral_theology,ordinary_to_catholic_shift,5,0.0319891208410263,0.03363681393635668,0.004289236267407725,0.05687723735968272,0.9510151853725523,2.1265346021275904,0.05029966994043172,0.09375,4,1,0,0.8,small,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,sacramental,ordinary_to_catholic_shift,4,0.05871670991182326,0.015636948875326417,0.043948518981536226,0.07065742934743563,3.754997882257741,7.509995764515482,0.0024460923242180985,0.0625,4,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,social_anthropological,ordinary_to_catholic_shift,3,0.169335006756915,0.03177601836379909,0.14344005808234214,0.2047947903474172,5.329019036250003,9.230131725286737,0.005767516185640602,0.125,3,0,0,1.0,strong,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,social_doctrine,ordinary_to_catholic_shift,6,0.05353562302059597,0.04753527308861591,0.021693208979235757,0.08871299376090365,1.1262294195889886,2.7586874113038795,0.019948368088190612,0.015625,6,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,virtue,ordinary_to_catholic_shift,3,0.04051165729761125,0.02182302910874013,0.018090724945068325,0.0616830945014954,1.8563718673401906,3.215330391974722,0.042314582547822284,0.125,3,0,0,1.0,small,positive shift toward Catholic descriptors
