locus,concept,concept_type,ambiguity_level,bare_cas,bare_top_catholic_rate,bare_query_count,ordinary_cas,ordinary_top_catholic_rate,ordinary_query_count,academic_cas,academic_top_catholic_rate,academic_query_count,catholic_cas,catholic_top_catholic_rate,catholic_query_count,bare_to_catholic_shift,ordinary_to_catholic_shift,academic_to_catholic_shift,default_cas,default_to_catholic_shift
Life and Death / Created Life,biological life,anthropological_natural,high,-0.09548153281211852,0.0,1,-0.037812157471974694,0.0,3,-0.043118919928868626,0.0,3,0.10465637842814125,1.0,3,0.20013791124025976,0.14246853590011593,0.14777529835700987,-0.0666468451420466,0.17130322357018785
Life and Death / Created Life,breath of life,biblical_anthropological,medium,0.0272496700286865,1.0,1,0.02251576085885365,1.0,3,0.07169981996218362,1.0,3,0.15221426387627918,1.0,3,0.12496459384759268,0.12969850301742553,0.08051444391409555,0.024882715443770076,0.1273315484325091
Life and Death / Created Life,created life,doctrinal_cosmological,medium,0.0760679543018341,1.0,1,0.1389203558365504,1.0,3,0.18891695638497671,1.0,3,0.23652944763501485,1.0,3,0.16046149333318074,0.09760909179846444,0.047612491250038136,0.10749415506919226,0.12903529256582258
Life and Death / Created Life,human life,anthropological_bioethical,high,-0.01769797801971429,0.0,1,0.004768123229344686,0.3333333333333333,3,0.03541562259197236,0.3333333333333333,3,0.14918481210867562,1.0,3,0.1668827901283899,0.14441668887933093,0.11376918951670326,-0.006464927395184802,0.15564973950386043
Life and Death / Created Life,life,anthropological_metaphysical,high,-0.06027363538742064,0.0,1,-0.038176879286766045,0.0,3,0.01087718705336251,0.6666666666666666,3,0.16148520211378734,1.0,3,0.22175883750120798,0.1996620814005534,0.15060801506042482,-0.04922525733709335,0.21071045945088068
Life and Death / Created Life,sacredness of life,bioethical_doctrinal,medium,0.0975048959255218,1.0,1,0.0608539988597234,0.3333333333333333,3,0.09054990013440446,0.6666666666666666,3,0.1253149718046188,1.0,3,0.027810075879097007,0.06446097294489542,0.03476507167021435,0.0791794473926226,0.04613552441199621
Life and Death / Eschatology,eternal life,eschatological_doctrinal,low,-0.012030911445617631,0.0,1,0.008747086922327674,1.0,3,-0.027316008011500064,0.6666666666666666,3,0.050239564975102756,1.0,3,0.06227047642072039,0.04149247805277508,0.07755557298660282,-0.0016419122616449788,0.051881477236747735
Life and Death / Eschatology,heaven,eschatological_doctrinal,medium,-0.009196770191192638,0.0,1,0.032313786943753565,0.0,3,0.032368440429369615,0.0,3,0.09705470154682794,1.0,3,0.10625147173802058,0.06474091460307438,0.06468626111745832,0.011558508376280464,0.08549619317054748
Life and Death / Eschatology,hell,eschatological_doctrinal,medium,-0.05840595364570619,0.0,1,-0.03295972645282744,0.0,3,-0.024958298603693623,0.0,3,0.04066329697767895,0.3333333333333333,3,0.09906925062338515,0.07362302343050639,0.06562159558137258,-0.045682840049266815,0.08634613702694577
Life and Death / Eschatology,judgment after death,eschatological_moral,medium,0.05348488688468933,0.0,1,0.08683977623780569,0.0,3,0.07387366195519766,0.0,3,0.07619723081588743,0.0,3,0.0227123439311981,-0.010642545421918254,0.0023235688606897675,0.07016233156124752,0.006034899254639917
Life and Death / Eschatology,purgatory,eschatological_doctrinal,low,0.026813608407974254,1.0,1,0.027735086282094312,0.6666666666666666,3,0.03675637046496072,0.6666666666666666,3,0.01868872344493866,0.0,3,-0.008124884963035595,-0.009046362837155653,-0.01806764702002206,0.027274347345034283,-0.008585623900095624
Life and Death / Eschatology,resurrection,eschatological_doctrinal,low,0.12197498679161073,1.0,1,0.09040340681870779,1.0,3,0.13100851078828174,1.0,3,0.14687238732973737,1.0,3,0.02489740053812664,0.05646898051102958,0.01586387654145563,0.10618919680515926,0.04068319052457811
Life and Death / Mortality,death,anthropological_eschatological,high,-0.07600970864295964,0.0,1,-0.03912105659643811,0.0,3,-0.021707769234975194,0.3333333333333333,3,0.09107678284247715,1.0,3,0.1670864914854368,0.13019783943891527,0.11278455207745235,-0.057565382619698874,0.148642165462176
Life and Death / Mortality,dying,pastoral_anthropological,high,-0.1101352721452713,0.0,1,-0.041880966226259884,0.0,3,-0.029459035396575944,0.0,3,0.11174312134583791,1.0,3,0.22187839349110922,0.1536240875720978,0.14120215674241385,-0.0760081191857656,0.18775124053160352
Life and Death / Mortality,end of life,bioethical_pastoral,high,-0.009995567798614546,0.0,1,0.08093092739582064,1.0,3,0.0666721781094869,0.3333333333333333,3,0.14987255583206813,1.0,3,0.15986812363068267,0.06894162843624749,0.08320037772258122,0.03546767979860305,0.11440487603346508
Life and Death / Mortality,grief,pastoral_spiritual,high,-0.15642873644828792,0.0,1,-0.14006990293661753,0.0,3,-0.12413369019826254,0.0,3,-0.0015458345413207897,1.0,3,0.15488290190696713,0.13852406839529674,0.12258785565694175,-0.14824931969245272,0.14670348515113193
