locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Life and Death / Created Life,biological life,anthropological_natural,high,academic,3,0.3558871825536092,0.3990061024824778,-0.043118919928868626,0.0,2.6666666666666665,1.0
Life and Death / Created Life,biological life,anthropological_natural,high,bare,1,0.45439066290855407,0.5498721957206726,-0.09548153281211852,0.0,3.0,1.0
Life and Death / Created Life,biological life,anthropological_natural,high,catholic,3,0.41270206967989603,0.3080456912517548,0.10465637842814125,1.0,1.0,3.0
Life and Death / Created Life,biological life,anthropological_natural,high,ordinary,3,0.34327142039934794,0.38108357787132263,-0.037812157471974694,0.0,3.0,1.0
Life and Death / Created Life,breath of life,biblical_anthropological,medium,academic,3,0.44311811725298567,0.371418297290802,0.07169981996218362,1.0,1.0,3.3333333333333335
Life and Death / Created Life,breath of life,biblical_anthropological,medium,bare,1,0.4839548349380493,0.4567051649093628,0.0272496700286865,1.0,1.0,3.0
Life and Death / Created Life,breath of life,biblical_anthropological,medium,catholic,3,0.461899212996165,0.3096849491198858,0.15221426387627918,1.0,1.0,5.0
Life and Death / Created Life,breath of life,biblical_anthropological,medium,ordinary,3,0.3724277585744858,0.34991199771563214,0.02251576085885365,1.0,1.0,3.0
Life and Death / Created Life,created life,doctrinal_cosmological,medium,academic,3,0.4918486634890238,0.30293170710404715,0.18891695638497671,1.0,1.0,5.0
Life and Death / Created Life,created life,doctrinal_cosmological,medium,bare,1,0.4863357961177826,0.4102678418159485,0.0760679543018341,1.0,1.0,3.0
Life and Death / Created Life,created life,doctrinal_cosmological,medium,catholic,3,0.47940390706062314,0.24287445942560834,0.23652944763501485,1.0,1.0,6.0
Life and Death / Created Life,created life,doctrinal_cosmological,medium,ordinary,3,0.42917072176933285,0.2902503659327825,0.1389203558365504,1.0,1.0,5.0
Life and Death / Created Life,human life,anthropological_bioethical,high,academic,3,0.42351378202438356,0.38809815943241116,0.03541562259197236,0.3333333333333333,1.6666666666666667,1.3333333333333333
