analysis,subset,metric,n,mean,sd,bootstrap_ci_low,bootstrap_ci_high,cohens_d,t_statistic,p_value,wilcoxon_p,positive_count,negative_count,zero_count,positive_rate,practical_effect,interpretation
Overall bare CAS vs zero,all concepts,bare_cas,24,-0.04379083377619584,0.09011973715165675,-0.07972766929926972,-0.009470466732357966,-0.4859183477477641,-2.380504017276595,0.025958790288103828,0.033985137939453125,6,18,0,0.25,small,negative Catholic alignment
Overall ordinary CAS vs zero,all concepts,ordinary_cas,24,-0.006905603326029248,0.07267264367540442,-0.036265371771943236,0.020195882052390098,-0.09502342252572275,-0.46551779760181977,0.6459386195562815,0.6033114194869995,12,12,0,0.5,negligible,confidence interval overlaps zero
Overall academic CAS vs zero,all concepts,academic_cas,24,0.010372313898470662,0.07678689202658562,-0.020921109942719347,0.03977056796145106,0.13507922543445952,0.6617503543296104,0.5147070941828211,0.45587432384490967,13,11,0,0.5416666666666666,negligible,confidence interval overlaps zero
Overall catholic CAS vs zero,all concepts,catholic_cas,24,0.09394839606765244,0.06913489314753034,0.06574997425648488,0.12099572767348339,1.3589143164967559,6.657293359160033,8.605056333560476e-07,2.9802322387695312e-06,21,3,0,0.875,meaningful,positive Catholic alignment
Overall bare to catholic shift,all concepts,bare_to_catholic_shift,24,0.13773922984384826,0.06924349903907832,0.10988040036263151,0.1641282399717925,1.9892008889688493,9.745054347728752,6.208205127964741e-10,1.1920928955078125e-07,23,1,0,0.9583333333333334,strong,positive shift toward Catholic descriptors
Overall ordinary to catholic shift,all concepts,ordinary_to_catholic_shift,24,0.10085399939368167,0.05451893775778871,0.07823369554709642,0.12254613581630916,1.8498892961147875,9.06256971223513,2.3670017266548814e-09,2.980232238769531e-07,22,2,0,0.9166666666666666,strong,positive shift toward Catholic descriptors
Overall academic to catholic shift,all concepts,academic_to_catholic_shift,24,0.08357608216918178,0.045162179235209626,0.06541885581281451,0.1013962500956323,1.8505768230073285,9.065937892377464,2.3510767158770907e-09,2.980232238769531e-07,23,1,0,0.9583333333333334,meaningful,positive shift toward Catholic descriptors
Overall default to catholic shift,all concepts,default_to_catholic_shift,24,0.11929661461876499,0.05951728679012961,0.09505849076072788,0.14242091602076667,2.004402771911122,9.819528060404927,5.383645551886901e-10,1.7881393432617188e-07,23,1,0,0.9583333333333334,strong,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Life and Death / Created Life,bare_cas,6,0.004561562339464827,0.07612369994801592,-0.05036241648097831,0.059449565410614004,0.05992302453217421,0.1467808339481055,0.8890397344110679,0.84375,3,3,0,0.5,negligible,confidence interval overlaps zero
Locus ordinary CAS vs zero,Life and Death / Created Life,ordinary_cas,6,0.0251782003376219,0.06725377559731421,-0.020721577935748633,0.07705311162604227,0.37437601255842945,0.9170302027059393,0.401195645805216,0.5625,4,2,0,0.6666666666666666,small,confidence interval overlaps zero
