audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,bare,1,0.38794290102270085,0.46099836995519555,-0.0730554689324947,-0.0730554689324947
freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_general,3,0.46530968844191206,0.726052541341061,-0.2607428528991489,-0.2658889224737572
freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_ambiguous,3,0.42279301483423004,0.44928135069722064,-0.026488335862990597,-0.07038545162108162
freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,label_free_theological,3,0.7688887450728807,0.4948801022679532,0.27400864280492754,0.26504138512157815
freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,explicit_catholic,3,0.8933638967743173,0.423166845994196,0.47019705078012125,0.47235963517035556
freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,integrative,3,0.7061544526870582,0.6146437808066695,0.09151067188038886,0.09052530477503729
autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,bare,1,0.47225525096748555,0.5593856949799928,-0.08713044401250725,-0.08713044401250725
autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_general,3,0.5038522490760112,0.773287362939148,-0.2694351138631368,-0.2678820264594871
autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,natural_ambiguous,3,0.48091004811371296,0.4994167555802549,-0.01850670746654191,-0.06767054677735623
autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,label_free_theological,3,0.801862136786966,0.5257696384462212,0.2760924983407449,0.2804221576843018
autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,explicit_catholic,3,0.9230308831742349,0.4781090419958911,0.44492184117834377,0.45785353867248607
autonomy_self_governance,autonomy,Freedom Truth and Moral Teleology,false,individual self-governance,valid_but_partial,integrative,3,0.720445757053834,0.6583122493995096,0.06213350765432427,0.07772546394600943
conscience_subjective_preference,conscience,Freedom Truth and Moral Teleology,false,subjective moral preference,normatively_conflicting,bare,1,0.4800140753613668,0.486492871711615,-0.006478796350248173,-0.006478796350248173
