embedding_id,umap_x,umap_y,umap_z
embedding_00001,11.825916290,-0.979561925,-3.357668877
embedding_00002,12.516918182,6.033887386,-3.501536846
embedding_00003,13.510128021,5.816096306,-5.035389423
embedding_00004,5.736361027,2.418672800,-4.883218288
embedding_00005,11.651206970,-0.060398452,4.201197147
embedding_00006,12.211806297,8.288239479,3.147020817
embedding_00007,14.449063301,6.237182140,-4.334481239
embedding_00008,13.820824623,3.253383636,-0.169628739
embedding_00009,10.764530182,1.867173195,-2.435564041
embedding_00010,6.185197830,1.379384518,-4.470663071
embedding_00011,3.976659536,5.532636642,-2.455355167
embedding_00012,6.053739548,1.426818728,-4.273883820
embedding_00013,4.328666687,5.136386871,-2.572643518
embedding_00014,9.727325439,5.007070541,-1.765639186
embedding_00015,11.725787163,5.384392738,-4.022221088
embedding_00016,13.219712257,4.672471523,-4.381067276
embedding_00017,11.163530350,5.428617001,-3.648354530
embedding_00018,9.524739265,0.954475641,-3.145480156
embedding_00019,10.065773010,8.474635124,3.167842865
embedding_00020,9.711781502,2.254525185,5.779729366
embedding_00021,11.455437660,4.375080109,0.315669686
embedding_00022,12.567472458,-0.672570586,-1.928118587
embedding_00023,11.669852257,7.119470596,-0.610974729
embedding_00024,12.315503120,2.976915359,-1.532478929
embedding_00025,9.165050507,7.335452557,2.786713839
embedding_00026,0.183687598,3.249509335,-2.065144539
embedding_00027,11.584855080,4.773343086,4.117447853
embedding_00028,12.325843811,-0.580387771,-2.252099991
embedding_00029,13.893353462,3.622771740,-0.073313631
embedding_00030,6.392393112,3.758866549,-3.713109732
embedding_00031,12.404179573,-0.620481431,-0.395595402
embedding_00032,12.000617027,-1.164574862,-3.649389744
embedding_00033,9.999924660,4.233896732,4.396017075
embedding_00034,9.000618935,6.276261806,-4.373321056
embedding_00035,8.398102760,3.550330877,0.012477376
embedding_00036,10.538365364,-0.242253616,5.479541302
embedding_00037,5.627089024,4.502849579,2.147900343
embedding_00038,12.225598335,8.101588249,3.113740683
embedding_00039,8.673884392,4.612246990,-3.560910463
embedding_00040,8.630041122,4.264907360,-0.525869370
embedding_00041,8.618274689,0.386966527,2.949362516
embedding_00042,10.601838112,-1.857838511,-2.485800743
embedding_00043,8.377328873,0.675966084,5.906506062
embedding_00044,8.553427696,3.511143446,-0.334796369
embedding_00045,11.097225189,1.425604701,-1.936355591
embedding_00046,14.379998207,-1.245755553,-0.345393926
embedding_00047,14.547703743,-1.669750333,-0.149529055
embedding_00048,8.587043762,1.794003367,0.099451534
embedding_00049,3.168892145,3.855190277,-10.319069862
embedding_00050,13.987236977,5.268042564,1.151121497
embedding_00051,11.279798508,1.493875027,-2.403800488
embedding_00052,13.860244751,-1.490149856,-1.086097360
embedding_00053,13.008261681,4.504423141,3.093030691
embedding_00054,11.144222260,1.708373189,3.805396318
embedding_00055,13.833383560,5.226780415,3.010307312
embedding_00056,13.330543518,6.498322964,3.152847052
embedding_00057,13.374837875,7.129643917,-4.782133579
embedding_00058,6.395243168,3.541862488,-3.733800411
embedding_00059,6.766567230,6.227606773,-3.634977818
embedding_00060,7.706979752,6.264479160,-3.579707384
embedding_00061,10.238063812,-0.791938305,5.224760056
embedding_00062,3.937242270,-3.367662907,-5.585273743
embedding_00063,11.549212456,7.363725185,2.620934963
embedding_00064,14.401247025,5.389365673,3.528819561
embedding_00065,6.602285385,3.634886026,-7.141892910
embedding_00066,11.594364166,6.656967163,5.176599503
embedding_00067,11.891905785,0.922721028,9.156915665
embedding_00068,12.002721786,-0.054677717,-3.058426857
embedding_00069,8.779590607,6.581993103,-4.959525108
embedding_00070,12.620841980,2.779314280,3.573941469
embedding_00071,13.830126762,4.629339695,1.033855200
embedding_00072,9.945118904,7.460659027,-2.750787020
embedding_00073,9.547945976,-4.830906868,2.731426239
embedding_00074,8.270886421,6.958137989,2.394824743
embedding_00075,15.440644264,-2.162188053,-0.703388691
embedding_00076,11.390285492,0.444867879,4.726267338
embedding_00077,11.706370354,-0.113113083,3.233332872
embedding_00078,9.342332840,1.132629037,5.777176380
embedding_00079,11.851817131,5.961030483,2.227860212
embedding_00080,14.204343796,1.084761977,0.278296113
embedding_00081,13.623559952,2.242747307,6.475190639
embedding_00082,13.694206238,5.257580757,1.933680415
